S.No,Subject,Tag,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Short Explanation,Long Explanation
1,Reading and Writing,Vocabulary in Context,Easy,"The scientist's findings were _____ by multiple independent studies, confirming their accuracy.",contradicted,refuted,corroborated,dismissed,C,Corroborated means confirmed,Context shows findings were confirmed by other studies
2,Reading and Writing,Vocabulary in Context,Easy,"Despite the _____ weather forecast, the outdoor event proceeded as planned.",ominous,favorable,indifferent,neutral,A,Ominous means threatening,Despite indicates contrast with proceeding as planned
3,Reading and Writing,Vocabulary in Context,Medium,"The author's writing style is notably _____, using simple language to convey complex ideas.",verbose,ornate,lucid,ambiguous,C,Lucid means clear and easy to understand,Simple language that conveys complex ideas is lucid
4,Reading and Writing,Vocabulary in Context,Medium,"The politician's _____ response failed to address the reporter's direct question.",evasive,candid,forthright,transparent,A,Evasive means avoiding the point,Failed to address means avoiding the question
5,Reading and Writing,Vocabulary in Context,Hard,"The researcher's _____ approach to data analysis revealed patterns others had overlooked.",cursory,meticulous,haphazard,superficial,B,Meticulous means extremely careful,Revealing overlooked patterns requires careful analysis
6,Reading and Writing,Vocabulary in Context,Hard,"The company's decision to expand was _____ given the economic downturn.",prudent,judicious,imprudent,sagacious,C,Imprudent means unwise,Expanding during downturn is unwise
7,Reading and Writing,Vocabulary in Context,Easy,"The student's explanation was so _____ that even beginners could understand it.",convoluted,obscure,pellucid,cryptic,C,Pellucid means transparently clear,Even beginners understanding indicates clarity
8,Reading and Writing,Vocabulary in Context,Medium,"The artist's work is _____, drawing inspiration from multiple cultural traditions.",eclectic,homogeneous,uniform,monotonous,A,Eclectic means diverse in style,Multiple cultural traditions indicate diversity
9,Reading and Writing,Vocabulary in Context,Hard,"The diplomat's _____ remarks helped ease tensions between the two nations.",inflammatory,conciliatory,provocative,contentious,B,Conciliatory means intended to reconcile,Easing tensions requires reconciling approach
10,Reading and Writing,Vocabulary in Context,Medium,"The evidence presented was _____, leaving no room for doubt.",equivocal,ambiguous,incontrovertible,dubious,C,Incontrovertible means undeniable,No room for doubt means undeniable
11,Reading and Writing,Text Structure & Purpose,Easy,What is the primary purpose of this passage about recycling?,To entertain,To inform,To persuade,To criticize,B,Informational text about recycling,Passage provides facts about recycling process
12,Reading and Writing,Text Structure & Purpose,Easy,The author uses chronological order to?,Show cause and effect,Present events in time order,Compare two things,Describe a place,B,Chronological means time order,Events presented in sequence of occurrence
13,Reading and Writing,Text Structure & Purpose,Medium,The passage is organized using which structure?,Problem-solution,Compare-contrast,Cause-effect,Sequential,A,Identifies problem then solution,First presents issue then proposes fix
14,Reading and Writing,Text Structure & Purpose,Medium,Why does the author include the anecdote in paragraph 2?,To provide evidence,To add humor,To illustrate a point,To change topics,C,Anecdote supports main idea,Personal story demonstrates the concept
15,Reading and Writing,Text Structure & Purpose,Hard,The shift in tone from paragraph 1 to 2 serves to?,Introduce conflict,Show contrast,Build suspense,Provide resolution,B,Tone changes for emphasis,Contrasting tones highlight different perspectives
16,Reading and Writing,Text Structure & Purpose,Hard,The author's use of rhetorical questions primarily?,Confuses readers,Engages readers,Provides answers,States facts,B,Questions engage audience,Rhetorical questions make readers think
17,Reading and Writing,Text Structure & Purpose,Easy,What is the main idea of the passage?,A specific detail,The central point,A supporting fact,An example,B,Main idea is central point,Overall message of the text
18,Reading and Writing,Text Structure & Purpose,Medium,The conclusion paragraph functions to?,Introduce new ideas,Summarize main points,Ask questions,Present evidence,B,Conclusions summarize,Final paragraph wraps up key ideas
19,Reading and Writing,Text Structure & Purpose,Hard,The author's use of parallel structure emphasizes?,Differences,Similarities,Confusion,Randomness,B,Parallel structure shows connection,Similar grammatical patterns link ideas
20,Reading and Writing,Text Structure & Purpose,Medium,The transitional phrase 'however' indicates?,Agreement,Contrast,Addition,Example,B,However shows opposition,Signals shift to opposing idea
21,Reading and Writing,Central Ideas & Details,Easy,According to the passage what year did the event occur?,1995,1998,2001,2005,B,Text states 1998,Passage explicitly mentions 1998
22,Reading and Writing,Central Ideas & Details,Easy,The passage states that the main character?,Likes sports,Enjoys reading,Prefers music,Avoids crowds,B,Text says enjoys reading,Directly stated in passage
23,Reading and Writing,Central Ideas & Details,Medium,Which detail best supports the claim that?,Detail A,Detail B,Detail C,Detail D,C,Detail C provides evidence,This detail directly proves the claim
24,Reading and Writing,Central Ideas & Details,Medium,The author implies that the solution?,Is simple,Requires effort,Is impossible,Needs funding,B,Context suggests effort needed,Indirect indication of work required
25,Reading and Writing,Central Ideas & Details,Hard,What can be inferred about the character's motivation?,Seeks fame,Desires knowledge,Wants wealth,Needs approval,B,Actions show curiosity,Behavior patterns indicate learning drive
26,Reading and Writing,Central Ideas & Details,Hard,The passage suggests that the outcome was?,Expected,Surprising,Inevitable,Disappointing,B,Context indicates unexpectedness,Language shows unanticipated result
27,Reading and Writing,Central Ideas & Details,Easy,How many participants were in the study?,50,75,100,125,C,Passage states 100,Explicitly mentioned number
28,Reading and Writing,Central Ideas & Details,Medium,The primary focus of paragraph 3 is?,Historical context,Current situation,Future predictions,Past mistakes,B,Paragraph discusses present,Content focuses on now
29,Reading and Writing,Central Ideas & Details,Hard,The author's attitude toward the subject is?,Critical,Neutral,Supportive,Dismissive,C,Language shows approval,Word choice indicates positive view
30,Reading and Writing,Central Ideas & Details,Medium,Which statement is supported by the data?,Statement A,Statement B,Statement C,Statement D,B,Data confirms statement B,Numbers back this claim
31,Reading and Writing,Boundaries (Punctuation),Easy,Which sentence is punctuated correctly?,Its a nice day.,It's a nice day.,Its' a nice day.,Its a nice day,B,It's = it is,Contraction needs apostrophe
32,Reading and Writing,Boundaries (Punctuation),Easy,Choose the correct sentence.,The dog wagged it's tail.,The dog wagged its tail.,The dog wagged its' tail.,The dog wagged it tail.,B,Its = possessive,No apostrophe for possessive its
33,Reading and Writing,Boundaries (Punctuation),Medium,Which uses commas correctly?,"Yes I agree.","Yes, I agree.","Yes I, agree.","Yes I agree,",B,Comma after introductory word,Yes needs comma after it
34,Reading and Writing,Boundaries (Punctuation),Medium,Select the properly punctuated sentence.,"The students books were lost.","The student's books were lost.","The students' books were lost.","The students book's were lost.",B,Single student possessive,One student owns books
35,Reading and Writing,Boundaries (Punctuation),Hard,Which sentence uses semicolons correctly?,I like apples; oranges; and pears.,I like apples; I also like oranges.,I like; apples and oranges.,I like apples and; oranges.,B,Semicolon joins independent clauses,Both parts can stand alone
36,Reading and Writing,Boundaries (Punctuation),Hard,Choose the correct punctuation.,"The team won, however they celebrated quietly.","The team won; however, they celebrated quietly.","The team won however, they celebrated quietly.","The team won, however; they celebrated quietly.",B,Semicolon before however,However joins two sentences
37,Reading and Writing,Boundaries (Punctuation),Easy,Which is correct?,Their going to the store.,There going to the store.,They're going to the store.,Theyre going to the store.,C,They're = they are,Contraction of they are
38,Reading and Writing,Boundaries (Punctuation),Medium,Select proper punctuation.,"The list includes: apples, oranges, and pears.","The list includes apples, oranges, and pears.","The list includes, apples, oranges, and pears.","The list includes apples oranges and pears.",B,No colon needed here,Simple list doesn't need colon
39,Reading and Writing,Boundaries (Punctuation),Hard,Which uses dashes correctly?,The answer - I think - is correct.,The answer-I think-is correct.,The answer - I think-is correct.,The answer -I think - is correct.,A,Spaces around dashes,Em dashes need spaces
40,Reading and Writing,Boundaries (Punctuation),Medium,Choose correct punctuation.,"She said, 'Hello.'","She said 'Hello'.","She said, Hello.","She said 'Hello'.",A,Comma before quote,Comma introduces dialogue
41,Reading and Writing,Form/Structure/Sense,Easy,Which verb form is correct?,He walk to school.,He walks to school.,He walking to school.,He walked to school yesterday.,B,Present tense third person,He requires -s ending
42,Reading and Writing,Form/Structure/Sense,Easy,Select the correct sentence.,The books is on the table.,The books are on the table.,The books be on the table.,The books was on the table.,B,Plural subject needs are,Books is plural
43,Reading and Writing,Form/Structure/Sense,Medium,Which maintains parallel structure?,She likes reading writing and to paint.,She likes reading writing and painting.,She likes to read write and painting.,She likes reading to write and paint.,B,All gerunds match,Consistent -ing form
44,Reading and Writing,Form/Structure/Sense,Medium,Choose the correct pronoun.,Each student must bring their book.,Each student must bring his or her book.,Each student must bring they book.,Each student must bring its book.,B,Singular pronoun for each,Each is singular
45,Reading and Writing,Form/Structure/Sense,Hard,Which sentence has correct subject-verb agreement?,The team are playing well.,The team is playing well.,The team were playing well.,The team be playing well.,B,Collective noun is singular,Team acts as one unit
46,Reading and Writing,Form/Structure/Sense,Hard,Select proper verb tense.,By tomorrow I will finished the project.,By tomorrow I will have finished the project.,By tomorrow I will finishing the project.,By tomorrow I will finish the project.,B,Future perfect for completion,Action complete before future time
47,Reading and Writing,Form/Structure/Sense,Easy,Which is grammatically correct?,Me and him went to the store.,Him and I went to the store.,He and I went to the store.,Me and he went to the store.,C,Subject pronouns needed,He and I are subjects
48,Reading and Writing,Form/Structure/Sense,Medium,Choose correct modifier placement.,Running quickly the finish line was crossed.,The finish line was crossed running quickly.,Running quickly he crossed the finish line.,He crossed running quickly the finish line.,C,Modifier near what it modifies,Running describes he
49,Reading and Writing,Form/Structure/Sense,Hard,Which avoids dangling modifier?,Walking to school the rain started.,Walking to school I felt the rain start.,The rain started walking to school.,Walking to school started the rain.,B,Subject performs the action,I was walking
