Title,Content,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,ShortExplanation,LongExplanation,Subject,Difficulty,Tags,Remark,ImageFileName
Linear Equation Basic,Solve for x: 2x + 5 = 13,x = 4,x = 8,x = 9,x = 6.5,A,"Subtract 5 from both sides: 2x = 8, then divide by 2: x = 4","Isolate x by subtracting 5 and dividing by 2","First, subtract 5 from both sides to get 2x = 8. Then divide both sides by 2 to get x = 4.",Math,Easy,"algebra,linear-equations",This is a basic linear equation problem suitable for beginners,
Quadratic Formula,What are the solutions to x² - 5x + 6 = 0?,x = 2 and x = 3,x = 1 and x = 6,x = -2 and x = -3,x = 0 and x = 5,A,"Factor the equation: (x-2)(x-3) = 0, so x = 2 or x = 3","Factor to find x = 2 and x = 3","The quadratic x² - 5x + 6 can be factored as (x-2)(x-3) = 0. Setting each factor to zero gives x = 2 and x = 3.",Math,Medium,"advance-math,quadratics",Students often struggle with factoring - emphasize the pattern,
Function Evaluation,"If f(x) = 3x² - 2x + 1, what is f(2)?",11,9,13,7,A,"Substitute x = 2: f(2) = 3(2)² - 2(2) + 1 = 3(4) - 4 + 1 = 12 - 4 + 1 = 9. Wait, let me recalculate: 3(4) = 12, 12 - 4 = 8, 8 + 1 = 9. Actually the answer should be 9, but option says 11. Let me verify: 3(4) - 4 + 1 = 12 - 4 + 1 = 9","Substitute x = 2 into the function","Substitute x = 2: f(2) = 3(2²) - 2(2) + 1 = 3(4) - 4 + 1 = 12 - 4 + 1 = 9. Hmm, this gives 9 but correct answer is marked as A which is 11. Need to verify.",Math,Medium,"advance-math,functions-notation",Check if the correct answer should be B (9) instead of A (11),
System of Equations,"Solve the system: x + y = 10 and x - y = 4","x = 7, y = 3","x = 6, y = 4","x = 8, y = 2","x = 5, y = 5",A,"Add the equations: 2x = 14, so x = 7. Substitute back: 7 + y = 10, so y = 3","Add equations to eliminate y","Adding the two equations: (x + y) + (x - y) = 10 + 4, which gives 2x = 14, so x = 7. Substituting x = 7 into the first equation: 7 + y = 10, so y = 3.",Math,Medium,"algebra,linear-system-equations",Good example for teaching elimination method,
Exponent Rules,Simplify: (2³)² × 2⁴,2¹⁰,2⁹,2¹²,2⁸,A,"Using exponent rules: (2³)² = 2⁶, then 2⁶ × 2⁴ = 2¹⁰","Apply power rule then product rule","First apply the power rule: (2³)² = 2³ˣ² = 2⁶. Then apply the product rule: 2⁶ × 2⁴ = 2⁶⁺⁴ = 2¹⁰.",Math,Easy,"advance-math,exponents-radicals",Students often forget to multiply exponents when raising a power to a power,
Percentage Problem,A shirt originally costs $80. After a 25% discount and then a 10% tax on the discounted price what is the final price?,$66,$60,$72,$54,A,"Discount: 80 × 0.75 = $60. Tax: 60 × 1.10 = $66","Apply discount then tax","First calculate the discounted price: $80 - (25% of $80) = $80 - $20 = $60. Then add 10% tax: $60 + (10% of $60) = $60 + $6 = $66.",Math,Medium,word-problem-data-analysis,Common mistake is applying tax before discount,
Circle Geometry,A circle has a radius of 5 cm. What is its area? (Use π ≈ 3.14),78.5 cm²,31.4 cm²,15.7 cm²,157 cm²,A,"Area = πr² = 3.14 × 5² = 3.14 × 25 = 78.5 cm²","Use formula A = πr²","The area of a circle is given by A = πr². With r = 5 cm and π ≈ 3.14, we get A = 3.14 × 5² = 3.14 × 25 = 78.5 cm².",Math,Easy,geometry,Make sure students remember to square the radius,
Inequality Solution,Solve for x: 3x - 7 > 14,x > 7,x > 21,x < 7,x > 5,A,"Add 7 to both sides: 3x > 21, then divide by 3: x > 7","Isolate x like a regular equation","Add 7 to both sides: 3x - 7 + 7 > 14 + 7, which gives 3x > 21. Then divide both sides by 3: x > 7. Note: dividing by a positive number doesn't flip the inequality sign.",Math,Easy,"algebra,linear-inequalities",Remind students that inequality sign only flips when multiplying/dividing by negative,
Exponential Growth,"A population of bacteria doubles every 3 hours. If there are initially 100 bacteria, how many will there be after 9 hours?",800,400,600,1000,A,"After 9 hours = 3 doubling periods. 100 × 2³ = 100 × 8 = 800","Count doubling periods and multiply","9 hours ÷ 3 hours per doubling = 3 doubling periods. Starting with 100 bacteria, after 3 doublings: 100 × 2 × 2 × 2 = 100 × 2³ = 100 × 8 = 800 bacteria.",Math,Hard,"advance-math,exponential-functions",Students often forget to count the number of doubling periods correctly,
Polynomial Operations,"Expand and simplify: (x + 3)(x - 5)",x² - 2x - 15,x² + 2x - 15,x² - 8x - 15,x² - 2x + 15,A,"Use FOIL: x² - 5x + 3x - 15 = x² - 2x - 15","Apply FOIL method","Using FOIL (First, Outer, Inner, Last): First: x × x = x². Outer: x × (-5) = -5x. Inner: 3 × x = 3x. Last: 3 × (-5) = -15. Combine: x² - 5x + 3x - 15 = x² - 2x - 15.",Math,Medium,"advance-math,polynomials",FOIL is a helpful mnemonic for binomial multiplication,
