questionId,subject,moduleType,difficulty,questionType,topic,subtopic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,passageText
1,Math,Base,Easy,Single,Geometry,Area & Perimeter,Mock Math Question 1: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
2,Math,Adaptive,Medium,Single,Data Analysis,Mean Median,Mock Math Question 2: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
3,Math,Base,Hard,Single,Advanced Math,Exponents,Mock Math Question 3: Solve the given problem.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
4,Math,Adaptive,Easy,Single,Algebra,Linear Equations,Mock Math Question 4: Solve the given problem.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
5,Math,Base,Medium,Single,Geometry,Area & Perimeter,Mock Math Question 5: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
6,Math,Adaptive,Hard,Single,Advanced Math,Exponents,Mock Math Question 6: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
7,Math,Base,Easy,Single,Data Analysis,Mean Median,Mock Math Question 7: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
8,Math,Adaptive,Medium,Single,Algebra,Linear Functions,Mock Math Question 8: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
9,Math,Base,Hard,Single,Advanced Math,Exponents,Mock Math Question 9: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
10,Math,Adaptive,Easy,Single,Geometry,Area & Perimeter,Mock Math Question 10: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
11,Math,Base,Medium,Single,Data Analysis,Mean Median,Mock Math Question 11: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
12,Math,Adaptive,Hard,Single,Data Analysis,Mean Median,Mock Math Question 12: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
13,Math,Base,Easy,Single,Geometry,Area & Perimeter,Mock Math Question 13: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
14,Math,Adaptive,Medium,Single,Algebra,Linear Functions,Mock Math Question 14: Solve the given problem.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
15,Math,Base,Hard,Single,Geometry,Area & Perimeter,Mock Math Question 15: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
16,Math,Adaptive,Easy,Single,Algebra,Linear Functions,Mock Math Question 16: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
17,Math,Base,Medium,Single,Advanced Math,Quadratics,Mock Math Question 17: Solve the given problem.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
18,Math,Adaptive,Hard,Single,Algebra,Linear Functions,Mock Math Question 18: Solve the given problem.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
19,Math,Base,Easy,Single,Algebra,Linear Functions,Mock Math Question 19: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
20,Math,Adaptive,Medium,Single,Advanced Math,Quadratics,Mock Math Question 20: Solve the given problem.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
21,Math,Base,Hard,Single,Geometry,Area & Perimeter,Mock Math Question 21: Solve the given problem.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
22,Math,Adaptive,Easy,Single,Data Analysis,Mean Median,Mock Math Question 22: Solve the given problem.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
23,Math,Base,Medium,Single,Algebra,Linear Equations,Mock Math Question 23: Solve the given problem.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
24,Math,Adaptive,Hard,Single,Geometry,Area & Perimeter,Mock Math Question 24: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
25,Math,Base,Easy,Single,Algebra,Linear Functions,Mock Math Question 25: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
26,Math,Adaptive,Medium,Single,Advanced Math,Exponents,Mock Math Question 26: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
27,Math,Base,Hard,Single,Algebra,Linear Functions,Mock Math Question 27: Solve the given problem.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
28,Math,Adaptive,Easy,Single,Advanced Math,Exponents,Mock Math Question 28: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
29,Math,Base,Medium,Single,Advanced Math,Quadratics,Mock Math Question 29: Solve the given problem.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
30,Math,Adaptive,Hard,Single,Algebra,Linear Equations,Mock Math Question 30: Solve the given problem.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
31,Reading and Writing,Base,Easy,Single,Writing,Grammar,Mock R&W Question 31: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
32,Reading and Writing,Adaptive,Medium,Single,Writing,Punctuation,Mock R&W Question 32: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
33,Reading and Writing,Base,Hard,Passage-based,Writing,Grammar,Mock R&W Question 33: Choose the correct answer.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,Mock reading passage text for testing purposes.
34,Reading and Writing,Adaptive,Easy,Single,Writing,Punctuation,Mock R&W Question 34: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
35,Reading and Writing,Base,Medium,Single,Reading,Inference,Mock R&W Question 35: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
36,Reading and Writing,Adaptive,Hard,Single,Writing,Punctuation,Mock R&W Question 36: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
37,Reading and Writing,Base,Easy,Passage-based,Reading,Inference,Mock R&W Question 37: Choose the correct answer.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,Mock reading passage text for testing purposes.
38,Reading and Writing,Adaptive,Medium,Single,Reading,Main Idea,Mock R&W Question 38: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
39,Reading and Writing,Base,Hard,Single,Reading,Vocabulary in Context,Mock R&W Question 39: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
40,Reading and Writing,Adaptive,Easy,Single,Reading,Vocabulary in Context,Mock R&W Question 40: Choose the correct answer.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
41,Reading and Writing,Base,Medium,Passage-based,Reading,Vocabulary in Context,Mock R&W Question 41: Choose the correct answer.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,Mock reading passage text for testing purposes.
42,Reading and Writing,Adaptive,Hard,Single,Reading,Vocabulary in Context,Mock R&W Question 42: Choose the correct answer.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,
43,Reading and Writing,Base,Easy,Single,Writing,Punctuation,Mock R&W Question 43: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
44,Reading and Writing,Adaptive,Medium,Single,Writing,Punctuation,Mock R&W Question 44: Choose the correct answer.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
45,Reading and Writing,Base,Hard,Passage-based,Writing,Punctuation,Mock R&W Question 45: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,Mock reading passage text for testing purposes.
46,Reading and Writing,Adaptive,Easy,Single,Writing,Punctuation,Mock R&W Question 46: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
47,Reading and Writing,Base,Medium,Single,Reading,Vocabulary in Context,Mock R&W Question 47: Choose the correct answer.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
48,Reading and Writing,Adaptive,Hard,Single,Writing,Punctuation,Mock R&W Question 48: Choose the correct answer.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
49,Reading and Writing,Base,Easy,Passage-based,Reading,Vocabulary in Context,Mock R&W Question 49: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,Mock reading passage text for testing purposes.
50,Reading and Writing,Adaptive,Medium,Single,Reading,Main Idea,Mock R&W Question 50: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
51,Reading and Writing,Base,Hard,Single,Reading,Vocabulary in Context,Mock R&W Question 51: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
52,Reading and Writing,Adaptive,Easy,Single,Reading,Vocabulary in Context,Mock R&W Question 52: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
53,Reading and Writing,Base,Medium,Passage-based,Reading,Vocabulary in Context,Mock R&W Question 53: Choose the correct answer.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,Mock reading passage text for testing purposes.
54,Reading and Writing,Adaptive,Hard,Single,Reading,Main Idea,Mock R&W Question 54: Choose the correct answer.,Option A,Option B,Option C,Option D,D,This is mock explanation text used for system testing.,
55,Reading and Writing,Base,Easy,Single,Reading,Main Idea,Mock R&W Question 55: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
56,Reading and Writing,Adaptive,Medium,Single,Reading,Main Idea,Mock R&W Question 56: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
57,Reading and Writing,Base,Hard,Passage-based,Writing,Punctuation,Mock R&W Question 57: Choose the correct answer.,Option A,Option B,Option C,Option D,C,This is mock explanation text used for system testing.,Mock reading passage text for testing purposes.
58,Reading and Writing,Adaptive,Easy,Single,Writing,Punctuation,Mock R&W Question 58: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
59,Reading and Writing,Base,Medium,Single,Writing,Punctuation,Mock R&W Question 59: Choose the correct answer.,Option A,Option B,Option C,Option D,B,This is mock explanation text used for system testing.,
60,Reading and Writing,Adaptive,Hard,Single,Writing,Grammar,Mock R&W Question 60: Choose the correct answer.,Option A,Option B,Option C,Option D,A,This is mock explanation text used for system testing.,
