S.No,Subject,Tag,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Short Explanation,Long Explanation
1,Math,Linear Equations (1 variable),Easy,Solve for x: 2x + 5 = 13,2,3,4,5,C,Subtract 5 then divide by 2,Subtract 5 from both sides: 2x = 8. Divide by 2: x = 4
2,Math,Linear Equations (1 variable),Easy,If 3x - 7 = 8 what is x?,3,4,5,6,C,Add 7 then divide by 3,Add 7 to both sides: 3x = 15. Divide by 3: x = 5
3,Math,Linear Equations (1 variable),Medium,Solve: 4(x - 2) = 20,5,6,7,8,C,Distribute then solve,4x - 8 = 20. Add 8: 4x = 28. Divide by 4: x = 7
4,Math,Linear Equations (1 variable),Medium,If 5x + 3 = 2x + 18 what is x?,3,4,5,6,C,Combine like terms,Subtract 2x: 3x + 3 = 18. Subtract 3: 3x = 15. Divide by 3: x = 5
5,Math,Linear Equations (1 variable),Hard,Solve: 2(3x - 4) = 3(x + 2),4,5,6,7,A,Distribute both sides,6x - 8 = 3x + 6. Subtract 3x: 3x - 8 = 6. Add 8: 3x = 14. x = 14/3 ≈ 4.67
6,Math,Linear Equations (1 variable),Hard,If (x + 5)/3 = 7 what is x?,14,15,16,17,C,Multiply by 3 then subtract 5,Multiply both sides by 3: x + 5 = 21. Subtract 5: x = 16
7,Math,Linear Equations (1 variable),Easy,Solve: x + 9 = 15,4,5,6,7,C,Subtract 9,Subtract 9 from both sides: x = 6
8,Math,Linear Equations (1 variable),Medium,If 7x - 12 = 2x + 13 what is x?,3,4,5,6,C,Combine like terms,Subtract 2x: 5x - 12 = 13. Add 12: 5x = 25. Divide by 5: x = 5
9,Math,Linear Equations (1 variable),Hard,Solve: 3(2x + 1) - 4x = 17,5,6,7,8,C,Distribute and simplify,6x + 3 - 4x = 17. Combine: 2x + 3 = 17. Subtract 3: 2x = 14. x = 7
10,Math,Linear Equations (1 variable),Medium,If 6x = 42 what is x?,5,6,7,8,C,Divide by 6,Divide both sides by 6: x = 7
11,Math,Linear Functions,Easy,What is the slope of y = 3x + 2?,1,2,3,4,C,Slope is coefficient of x,In y = mx + b form slope m = 3
12,Math,Linear Functions,Easy,Find y-intercept of y = 2x - 5,-7,-6,-5,-4,C,Y-intercept is constant term,In y = mx + b form y-intercept b = -5
13,Math,Linear Functions,Medium,What is slope between (2,3) and (6,11)?,1,2,3,4,B,Use slope formula,m = (11-3)/(6-2) = 8/4 = 2
14,Math,Linear Functions,Medium,Line passes through (0,4) with slope 3. What is equation?,y=3x+1,y=3x+4,y=4x+3,y=x+7,B,Use y = mx + b,Slope m=3 and y-intercept b=4 so y=3x+4
15,Math,Linear Functions,Hard,Find x-intercept of 2x + 3y = 12,4,5,6,7,C,Set y=0 and solve,2x + 3(0) = 12. 2x = 12. x = 6
16,Math,Linear Functions,Hard,Lines y=2x+1 and y=-x+7 intersect at what x?,1,2,3,4,B,Set equations equal,2x+1=-x+7. 3x=6. x=2
