S.No,Subject,Tag,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Short Explanation,Long Explanation
1,Math,Linear Equations (1 & 2 variables),Easy,Solve: 2x + 5 = 13,2,3,4,5,C,Subtract 5 divide by 2,2x = 8 so x = 4
2,Math,Linear Equations (1 & 2 variables),Easy,If 3x - 7 = 8 find x,3,4,5,6,C,Add 7 divide by 3,3x = 15 so x = 5
3,Math,Linear Equations (1 & 2 variables),Medium,Solve: 4(x-2) = 20,5,6,7,8,C,Distribute then solve,4x - 8 = 20 so x = 7
4,Math,Linear Equations (1 & 2 variables),Medium,If 5x + 3 = 2x + 18 find x,3,4,5,6,C,Combine like terms,3x = 15 so x = 5
5,Math,Linear Equations (1 & 2 variables),Hard,Solve: 2(3x-4) = 3(x+2),4,5,6,7,A,Distribute both sides,6x - 8 = 3x + 6 gives x ≈ 4.67
6,Math,Linear Equations (1 & 2 variables),Hard,If (x+5)/3 = 7 find x,14,15,16,17,C,Multiply by 3,x + 5 = 21 so x = 16
7,Math,Linear Equations (1 & 2 variables),Easy,Solve: x + 9 = 15,4,5,6,7,C,Subtract 9,x = 6
8,Math,Linear Equations (1 & 2 variables),Medium,Solve: 2x + 3y = 12 when y = 2,1,2,3,4,C,Substitute y = 2,2x + 6 = 12 so x = 3
9,Math,Linear Equations (1 & 2 variables),Hard,If 3x - 2y = 10 and y = 4 find x,4,5,6,7,C,Substitute y,3x - 8 = 10 so x = 6
10,Math,Linear Equations (1 & 2 variables),Medium,Solve: 7x - 12 = 2x + 13,3,4,5,6,C,Combine terms,5x = 25 so x = 5
11,Math,Linear Functions,Easy,Slope of y = 3x + 2?,1,2,3,4,C,Coefficient of x,m = 3
12,Math,Linear Functions,Easy,Y-intercept of y = 2x - 5?,-7,-6,-5,-4,C,Constant term,b = -5
13,Math,Linear Functions,Medium,Slope between (2,3) and (6,11)?,1,2,3,4,B,Rise over run,(11-3)/(6-2) = 2
14,Math,Linear Functions,Medium,Line through (0,4) slope 3?,y=3x+1,y=3x+4,y=4x+3,y=x+7,B,Use y = mx + b,m=3 b=4
15,Math,Linear Functions,Hard,X-intercept of 2x + 3y = 12?,4,5,6,7,C,Set y = 0,2x = 12 so x = 6
16,Math,Linear Functions,Hard,Where do y=2x+1 and y=-x+7 meet?,1,2,3,4,B,Set equal,2x+1=-x+7 gives x=2
17,Math,Linear Functions,Easy,Slope of horizontal line?,0,1,-1,undefined,A,No rise,m = 0
18,Math,Linear Functions,Medium,Parallel lines have?,Same slope,Same intercept,Different slopes,No relationship,A,Equal slopes,Never intersect
19,Math,Linear Functions,Hard,Perpendicular to y=2x+1?,-2,-1/2,1/2,2,B,Negative reciprocal,m = -1/2
20,Math,Linear Functions,Medium,If f(x)=4x-3 find f(5),15,16,17,18,C,Substitute,4(5) - 3 = 17
21,Math,Systems of Linear Equations,Easy,Solve: x+y=5 and x-y=1,x=2 y=3,x=3 y=2,x=4 y=1,x=1 y=4,B,Add equations,2x = 6 so x = 3
22,Math,Systems of Linear Equations,Easy,Solve: 2x+y=7 and x=2,x=2 y=2,x=2 y=3,x=3 y=1,x=1 y=5,B,Substitute x,2(2)+y=7 so y=3
23,Math,Systems of Linear Equations,Medium,Solve: x+2y=8 and 2x-y=1,x=2 y=3,x=3 y=2,x=1 y=3,x=4 y=2,A,Elimination method,x=2 y=3
24,Math,Systems of Linear Equations,Medium,Solve: 3x+y=10 and x-y=2,x=2 y=4,x=3 y=1,x=4 y=-2,x=1 y=7,B,Add equations,4x=12 so x=3
25,Math,Systems of Linear Equations,Hard,Solve: 2x+3y=13 and x+y=5,x=2 y=3,x=3 y=2,x=4 y=1,x=1 y=4,A,Substitution,x=2 y=3
26,Math,Systems of Linear Equations,Hard,Solve: 4x-y=10 and 2x+y=8,x=2 y=-2,x=3 y=2,x=4 y=6,x=1 y=-6,B,Add equations,6x=18 so x=3
27,Math,Systems of Linear Equations,Easy,Solve: y=x+1 and y=2x,x=0 y=0,x=1 y=2,x=2 y=4,x=-1 y=-2,B,Set equal,x+1=2x so x=1
28,Math,Systems of Linear Equations,Medium,Solve: 3x+2y=12 and x=2,x=2 y=3,x=2 y=2,x=3 y=1,x=1 y=4,A,Substitute,6+2y=12 so y=3
29,Math,Systems of Linear Equations,Hard,Solve: 5x-2y=16 and 3x+2y=8,x=2 y=-3,x=3 y=-1,x=4 y=2,x=1 y=-5,B,Add equations,8x=24 so x=3
